study_number,source_id,Citation,Identification_Method,Inclusion_Status,PublicationTypee,PublicationYear,DetectionYear,Decade,TemporalPeriod,method,method 2,Location,Country,Latitude,Longitude,Ecoregion_ID,Ecoregion_Description,er_short,n_Scat,n_stomach,n_intestine,n_Observation,human-influenced diet,seasonality,data_level,data_extracted,language,interactions_section,time_to_access_days,access_method,notes,Author_contact,Random_value,Validation,pdf_acess
39,Navarrete-Ozuna 2011,"Navarrete Ozuna, LA. Hábitos Alimentarios del Cacomixtle Bassariscus astutus (Carnivora: Procyonidae) en Tlazala de Fabela, Estado de México. Thesis. UNAM",expert curated,include,Collegiate Research,2011,,2010,2000s,fresh scat,scat,"“la palma” localizada en Tlazala de Fabela, Estado de México",Mexico,19.55766006,-99.41657139,13.4,Transversal Neo-Volcanic System,,39,n/a,n/a,n/a,,,,yes,spanish,,0,University Library,,,8,,https://paperpile.com/app/p/9e0d76e1-55e6-0fa9-a514-5489ba70b64e
40,Conkling et al. 2012,"Conkling TJ, Pope TL, Smith KN, Mathewson HA, Morrison ML, Wilkins RN, Cain III JW. Black‐capped vireo nest predator assemblage and predictors for nest predation. The Journal of Wildlife Management. 2012 Sep;76(7):1401-11.",systematic search,include,Society,2012,2009,2010,2000s,camera trap,observation,"Devils River State Natural Area, Val Verde County, Texas, USA",USA,29.9401792,-100.9698151,9.4,South Central Semi-Arid Prairies,,n/a,n/a,n/a,1,no,spring; summer,,yes,english,Table 3,0,University Library,GPS from one site with diet item detection from mulitsite study,,,,https://paperpile.com/app/p/b3c79c7f-2945-0088-be6b-95b819da49d2
41,Harrison 2012,"Harrison RL. Ringtail (Bassariscus astutus) ecology and behavior in central New Mexico, USA. Western North American Naturalist. 2012 Dec;72(4):495-506.",systematic search,include,Society,2012,,2010,2000s,fresh scat,combination,"Sevilleta National Wildlife Refuge, New Mexico, USA",USA,34.34068139,-106.9720898,10.1,Cold Deserts,C. Deserts,314,n/a,n/a,n/a,,,,yes,english,,0,BioOne,,,6,,https://paperpile.com/shared/WprMmI
42,Allen 2013,Allen ML. Scavenging of a striped skunk (Mephitis mephitis) by a ringtail (Bassariscus astutus) in northern California. Northwestern Naturalist. 2013 Apr 1;94(1):79-81.,systematic search,include,Society,2013,,2010,2000s,camera trap,observation,"along Highway 162, Mendocino National Forest, near the town of Elk Creek, California, USA",USA,39.619017,-122.527538,11.1,Mediterranean California,Med. Calif.,n/a,n/a,n/a,2,,,,yes,english,,0,JSTOR,,,16,,https://paperpile.com/app/p/03489526-a5a5-0f50-aaa9-db394b7ce85a
43,Roadman 2014,"Roadman AA. Ringtail distribution, dermatoglyphics, and diet in Zion National Park, Utah. Thesis. Utah State University.",expert curated,include,Collegiate Research,2014,,2010,2000s,fresh scat,scat,"Zion National Park, Utah, USA",USA,37.2982,-113.0263,10.1,Cold Deserts,,n/a,n/a,n/a,n/a,yes,,,yes,english,,0,University Library,,,15,,https://paperpile.com/app/p/977da086-5305-0d54-8868-035a2a660498
44,Allen et al. 2015,"Allen ML, Elbroch LM, Wilmers CC, Wittmer HU. The comparative effects of large carnivores on the acquisition of carrion by scavengers. The American Naturalist. 2015 Jun 1;185(6):822-33.",expert curated,include,Society,2015,,2010,2000s,camera trap,observation,"Mendocino National Forest, California, USA",USA,39.63254151,-122.8251929,6.2,Western Cordillera,W. Cord.,n/a,n/a,n/a,13,,,,yes,english,,0,JSTOR,,,23,,https://paperpile.com/app/p/ca8bbc8a-257d-0bd1-b8df-99f5161c4602
45,Allen et al. 2016,"Allen ML, Wilmers CC, Elbroch LM, Golla JM, Wittmer HU. The importance of motivation, weapons, and foul odors in driving encounter competition in carnivores. Ecology. 2016 Aug;97(8):1905-12",systematic search,include,Society,2016,,2010,2000s,camera trap,observation,"Mendocino National Forest, California, USA",USA,39.63254151,-122.8251929,6.2,Western Cordillera,W. Cord.,n/a,n/a,n/a,3,,,,yes,english,,0,JSTOR,,,15,,https://paperpile.com/app/p/80954d5d-45cc-0f32-b10e-13713d58c483
46,Sanchez 2016,"Sánchez RES. Influencia de los recursos antropogénicos en la abundancia y dieta del babisuri (Bassariscus astutus saxicola Merriam, 1897) en el complejo Insular Espíritu Santo, BCS, México.",expert curated,include,Collegiate Research,2016,,2010,2000s,fresh scat,scat,"Insular Complex, Espiritu Santo, Baja Sur, Mexico",Mexico,24.4675073,-110.4145746,9.4,South Central Semi-Arid Prairies,,167,n/a,n/a,n/a,yes,,,yes,spanish,,0,University Library,,,19,,https://paperpile.com/app/p/2b1a6db3-d6a9-056c-bda5-359ac7398de1
47,Cisneros-Moreno & Martínez-Corone 2019,"Cisneros-Moreno C, Martínez-Coronel M. Alimentación del cacomixtle (Bassariscus astutus) en un ambiente urbano y uno agrícola en los valles centrales de Oaxaca. Revista Mexicana de Mastozoología (Nueva Época). 2019 Jul 25;9(1):31-43.",systematic search,include,Collegiate Research,2019,,2010,2000s,fresh scat,scat,"Central Valleys of Oaxaca, Mexico",Mexico,17.045,-96.7669,14.4,Interior Depressions,I. Dep.,139,n/a,n/a,n/a,yes,,,yes,spanish,,0,University Library,,,40,,https://paperpile.com/app/p/8d26d918-ce80-048d-ab74-c35ec20c6d83
48,Ojeda-Lavariega et al. 2019,"Ojeda-Lavariega E, Vásquez-Dávila MA, Padilla-Gómez E, Manzanero-Medina GI. Use of medium and large wild mammals in San Pablo Etla, Oaxaca, Mexico. Actas Iberoamericanas de Conservación Animal. 2019;14:42-6.",systematic search,include,Society,2019,,2010,2000s,interview,observation,La Cruz Corral De Piedra: Área Destinada a la Conservación,Mexico,17.1738898,-96.6845399,13.5,Southern Sierra Madres,,0,,,,,,,,spanish,,,,didnt see any diet items? ,,,,https://paperpile.com/app/p/95ba3070-cbcd-0774-a088-8c6c21d46183
49,Rubalcava‐Castillo et al. 2020,"Rubalcava‐Castillo FA, Sosa‐Ramírez J, Luna‐Ruíz JJ, Valdivia‐Flores AG, Díaz‐Núñez V, Íñiguez‐Dávalos LI. Endozoochorous dispersal of forest seeds by carnivorous mammals in Sierra Fría, Aguascalientes, Mexico. Ecology and Evolution. 2020 Mar;10(6):2991-3003.",systematic search,include,Science Publisher,2020,,2020,2000s,fresh scat,scat,"Área Natural Protegida Sierra Fría, Aguascalientes, Mexico",Mexico,22.1064759,-102.8055335,14.3,"Western Pacific Coastal Plain, Hills, and Canyons",,12,n/a,n/a,n/a,,,,,english,,,,,,,,https://paperpile.com/app/p/f80070f3-9f4d-0e0f-b5df-740ff5d35415
50,Pérez-Flores et al. 2021,"Pérez-Flores GA, Sánchez-Sánchez M, Sánchez-Alarcón J, García-de Jesús S, Flores-Morales M. Dispersión endozoocórica de plantas en un bosque de encino de Tlaxcala por el cacomixtle (Bassariscus astutus). Ecosistemas y Recursos Agropecuarios. 2021;8(3).",systematic search,include,Collegiate Research,2021,,2020,2000s,fresh scat,scat," La Trinidad Tenexyecac, Tlaxcala, Mexico",Mexico,19.3353232,-98.3228712,13.4,Transversal Neo-Volcanic System,,76,n/a,n/a,n/a,,,,,spanish,,,,,,,,https://paperpile.com/app/p/283a3c0e-1866-0700-9b8e-6bfe44ce8417
51,Speir et al. 2021,"Speir S, Willoughby A, Altizer S. Expansion and comparison of ringtail (Bassariscus astutus) diet in Zion National Park. Undergraduate Research Project.",expert curated,empirical,Collegiate Research,2021,,2020,2000s,fresh scat,scat,"Zion National Park, Utah, USA",USA,37.2982,-113.0263,10.1,Cold Deserts,,153,n/a,n/a,n/a,yes,,individual,yes,english,,0,Emperical Work,,,31,,
