interaction_id,source_id,ReportedCommonName,ReportedScientificName,method,ScientificName,taxon_authority,taxon_rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,life-stage
int_567,Calderón Vega 2002,Scarab beetle,Coleoptera Scarabeidae,scat,Scarabeidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Scarabeidae,x,x,
int_178,Calderón Vega 2002,Spiny lizard,Sceloporus spp.,scat,Sceloporus,ITIS,genus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,x,
int_746,Calderón Vega 2002,n/a,Scorpiones (vejovidae,scat,Scorpiones,ITIS,order,Animalia,Arthropoda,Euchelicerata,Scorpiones,x,x,x,
int_747,Calderón Vega 2002,n/a,Solanaceae spp.,scat,Solanaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,x,x,
int_748,Calderón Vega 2002,n/a,Solifugae,scat,Solifugae,ITIS,order,Animalia,Arthropoda,Euchelicerata,Solifugae,x,x,x,
int_749,Calderón Vega 2002,n/a,Hymenoptera Sphecidae,scat,Sphecidae,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Sphecidae,x,x,
int_750,Calderón Vega 2002,n/a,Stenocereus gummosus,scat,Stenocereus gummosus,ITIS,species,Plantae,Tracheophyta,Magnoliopsida ,Caryophyllales,Cactaceae,Stenocereus,Stenocereus gummosus,
int_751,Calderón Vega 2002,n/a,Stenocereus linurberi,scat,Stenocereus thurberi,ITIS,species,Plantae,Tracheophyta,Magnoliopsida ,Caryophyllales,Cactaceae,Stenocereus,Stenocereus gummosus,
int_752,Calderón Vega 2002,n/a,Stenocerus thurberi,scat,Stenocerus thurberi,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Stenocereus,Stenocerus thurberi,
int_753,Calderón Vega 2002,n/a,Telostei,scat,Teleostei,ITIS,class,Animalia,Chordata,Teleostei,x,x,x,x,
int_214,Calderón Vega 2002,Darkling beetle,Coleoptera Tenebrionidae,scat,Tenebrionidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,x,x,
int_215,Calderón Vega 2002,Darkling beetle,Coleoptera Tenibrionidae,scat,Tenibrionidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Tenibrionidae,x,x,larva
int_415,Calderón Vega 2002,Long-horned grasshoppers,Orthoptera Tettigonidae,scat,Tettigoniidae,ITIS,family,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,x,x,
int_641,Calderón Vega 2002,Tarantula,Aranea Therophosidae,scat,Theraphosidae,ITIS,family,Animalia,Arthropoda,Euchelicerata,Araneae,Theraphosidae,x,x,
int_754,Calderón Vega 2002,n/a,Toxostama lecontes ,scat,Toxostoma lecontei,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,Toxostoma lecontei,
int_712,Calderón Vega 2002,Willet,Catoptrophorus semipalmatus,scat,Tringa semipalmatus,ITIS,species,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa semipalmatus,
int_175,Calderón Vega 2002,Small-scaled lizard,Urosaurus nigricaudus,scat,Urosaurus nigricaudus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Urosaurus,Urosaurus nigricaudus,
int_170,Calderón Vega 2002,Common side-blotched lizard,Uta stanburiana,scat,Uta stanburiana,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Uta,Uta stansburiana,
int_755,Calderón Vega 2002,n/a,Hymenoptera Vespidae,scat,Vespidae,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,x,x,
int_756,Calderón Vega 2002,n/a,Larvas parasitas,scat,,not recognized,,Animalia,,,,,,,larva
int_185,Castellanos Morales et al. 2008,Copperleaf,Acalypha sp.,scat,Acalypha,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,x,
int_030,Castellanos Morales et al. 2008,Arthropod,Arthropods,scat,Arthropoda,ITIS,phylum,Animalia,Arthropoda,x,x,x,x,x,
int_064,Castellanos Morales et al. 2008,Bird,Aves,scat,Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x,
int_757,Castellanos Morales et al. 2008,cardboard,n/a,scat,Fiber,not recognized,human-influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,
int_437,Castellanos Morales et al. 2008,Mexican woodrat,Neotoma mexicana,scat,Neotoma mexicana,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,Neotoma mexicana,
int_519,Castellanos Morales et al. 2008,Pricklypear,Opuntia sp.,scat,Opuntia,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,x,
int_704,Castellanos Morales et al. 2008,White passionflower,Passiflora subpeltata,scat,Passiflora subpeltata,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,Passiflora subpeltata,
int_481,Castellanos Morales et al. 2008,Osgood's mouse,Peromyscus gratus,scat,Peromyscus gratus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus gratus,
int_141,Castellanos Morales et al. 2008,Canary Island date palm,Phoenix canariensis,scat,Phoenix canariensis,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Arecales ,Arecaceae,Phoenix,Phoenix canariensis,
int_758,Castellanos Morales et al. 2008,candy wrappers,n/a,scat,Plastic,not recognized,human-influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,
int_508,Castellanos Morales et al. 2008,Plastic,Plastic,scat,Plastic,not recognized,human-influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,
int_759,Castellanos Morales et al. 2008,chewing gum,n/a,scat,Processed food,not recognized,human-influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,
int_565,Castellanos Morales et al. 2008,Saussure's shrew,Sorex saussurei,scat,Sorex saussurei,ITIS,species,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex saussurei,
int_342,Castellanos Morales et al. 2008,Ground squirrel,Spermophylus sp.,scat,Spermophilus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,x,
int_260,Castellanos Morales et al. 2008,Eastern cottontail,Sylvilagus floridanus,scat,Sylvilagus floridanus,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus floridanus,
int_031,Castellanos Morales et al. 2009,Arthropod,Arthorpoda,scat,Arthropoda,ITIS,phylum,Animalia,Arthropoda,x,x,x,x,x,
int_065,Castellanos Morales et al. 2009,Bird,n/a,scat,Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x,
int_760,Castellanos Morales et al. 2009,Human Influenced,n/a,scat,Human Influenced,not recognized,human-influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,
int_761,Castellanos Morales et al. 2009,Mammals,n/a,scat,Mammalia,ITIS,class,Animalia,Chordata,Mammalia,x,x,x,x,
int_762,Castellanos Morales et al. 2009,Plants,n/a,scat,Plantae,ITIS,kingdom,Plantae,x,x,x,x,x,,
int_033,Chavez-Ramirez & Slack 1993,Ashe juniper,Juniperus ashei,scat,Juniperus ashei,ITIS,species,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,Juniperus ashei,
int_422,Chavez-Ramirez & Slack 1993,Mammal,Mammalia,scat,Mammalia,ITIS,class,Animalia,Chordata,Mammalia,x,x,x,x,
int_369,Cisneros-Moreno & Martínez-Corone 2019,House cricket,Acheta domesticus,scat,Acheta domesticus,ITIS,species,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Acheta,Acheta domesticus,
int_609,Cisneros-Moreno & Martínez-Corone 2019,Soursop,Annona muricata,scat,Annona muricata,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Annona,Annona muricata,
int_405,Cisneros-Moreno & Martínez-Corone 2019,Leafcutter ant,Arthropoda,scat,Atta cephalotes,ITIS,species,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Atta,Atta cephalotes,
int_066,Cisneros-Moreno & Martínez-Corone 2019,Bird,Aves,scat,Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x,
int_339,Cisneros-Moreno & Martínez-Corone 2019,Ground beetle,Coleoptera/Carabidae,scat,Carabidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,x,x,
int_418,Cisneros-Moreno & Martínez-Corone 2019,Loquat,Eriobotrya,scat,Eriobotrya,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Eriobotrya,x,
int_273,Cisneros-Moreno & Martínez-Corone 2019,Fig,Ficus sp.,scat,Ficus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,x,
int_257,Cisneros-Moreno & Martínez-Corone 2019,Earwig,Forficula,scat,Forficula,ITIS,genus,Animalia,Arthropoda,Insecta,Dermaptera,Forficulidae,Forficula,x,
int_286,Cisneros-Moreno & Martínez-Corone 2019,Fowls,Galliformes,scat,Galliformes,ITIS,order,Animalia,Chordata,Aves,Galliformes,x,x,x,eggs
int_542,Cisneros-Moreno & Martínez-Corone 2019,Red junglefowl,Gallus gallus,scat,Gallus gallus,ITIS,species,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus,
int_370,Cisneros-Moreno & Martínez-Corone 2019,house finch,Haemorus mexicanus,scat,Haemorhous mexicanus,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,Haemorhous mexicanus,
int_763,Cisneros-Moreno & Martínez-Corone 2019,n/a,Manilkara,scat,Manilkara,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Ericales,Sapotaceae,Manilkara,x,
int_106,Cisneros-Moreno & Martínez-Corone 2019,Buderigar,Melopsittacus undulatus,scat,Melopsittacus undulatus,ITIS,species,Animalia,Chordata,Aves,Psittaciformes,Psittacinae,Melopsittacus,Melopsittacus undulatus,
int_143,Cisneros-Moreno & Martínez-Corone 2019,canyon townee,Melozone fusca,scat,Melozone fusca,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melozone,Melozone fusca,
int_100,Cisneros-Moreno & Martínez-Corone 2019,Bronzed cowbird,Molothrus aeneus,scat,Molothrus aeneus,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,Molothrus,
int_764,Cisneros-Moreno & Martínez-Corone 2019,n/a,Odonata,scat,Odonata,ITIS,order,Animalia,Arthropoda,Insecta,Odonata,x,x,x,
int_269,Cisneros-Moreno & Martínez-Corone 2019,European rabbit,Oryctolagus cuniculus,scat,Oryctolagus cuniculus,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,
int_765,Cisneros-Moreno & Martínez-Corone 2019,n/a,Pasiflora,scat,Passiflora,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,x,
int_007,Cisneros-Moreno & Martínez-Corone 2019,American cockroach,Periplaneta americana,scat,Periplaneta americana,ITIS,species,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,Periplaneta americana,
int_220,Cisneros-Moreno & Martínez-Corone 2019,Deer mouse,Peromyscus sp.,scat,Peromyscus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,x,
int_568,Cisneros-Moreno & Martínez-Corone 2019,scarab beetle,Phyllophaga sp.,scat,Phyllophaga,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Phyllophaga,x,
int_090,Cisneros-Moreno & Martínez-Corone 2019,Blackbead,Pithecellobium,scat,Pithecellobium,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Pithecellobium,x,
int_306,Cisneros-Moreno & Martínez-Corone 2019,Grass,Poacea,scat,Poacea,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,x,x,
int_770,Cisneros-Moreno & Martínez-Corone 2019,n/a,Dulces y chocolates,scat,Processed food,not recognized,human-influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,
int_081,Cisneros-Moreno & Martínez-Corone 2019,black cherry,Prunus capuli,scat,Prunus capuli,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus capuli,
int_347,Cisneros-Moreno & Martínez-Corone 2019,guava,Psidium,scat,Psidium,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Psidium,x,
int_573,Cisneros-Moreno & Martínez-Corone 2019,Scarlet flycatcher,Pyrocephalus rubinus,scat,Pyrocephalus rubinus,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pyrocephalus,Pyrocephalus rubinus,
int_330,Cisneros-Moreno & Martínez-Corone 2019,Great-tailed grackle,Quisalus mexicanus,scat,Quiscalus mexicanus,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Icteridae,Quiscalus,Quiscalus mexicanus,
int_101,Cisneros-Moreno & Martínez-Corone 2019,Brown rat,Rattus norvegicus,scat,Rattus norvegicus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,
int_297,Cisneros-Moreno & Martínez-Corone 2019,goove-toothed New World harvest mice,Reinthrodontomy sp.,scat,Reinthrodontomy,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,x,
int_325,Cisneros-Moreno & Martínez-Corone 2019,grasshoppers,Schistocerca sp.,scat,Schistocerca,ITIS,genus,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Schistocerca,x,
int_766,Cisneros-Moreno & Martínez-Corone 2019,n/a,Sesanum indicum,scat,Sesamum indicum,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Pedaliaceae,Sesamum,Sesamum indicum,
int_671,Cisneros-Moreno & Martínez-Corone 2019,Warbler,Dendroica sp.,scat,Setophaga,ITIS,genus,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,x,
int_088,Cisneros-Moreno & Martínez-Corone 2019,black-throated gray warbler,Dendroica nigrescens,scat,Setophaga nigrescens,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga nigrescens,
int_362,Cisneros-Moreno & Martínez-Corone 2019,Hispid cotton rat,Sigmodon hispidus,scat,Sigmodon hispidus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,Sigmodon hispidus,
int_767,Cisneros-Moreno & Martínez-Corone 2019,n/a,Solanum sp.,scat,Solanum,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,x,
int_326,Cisneros-Moreno & Martínez-Corone 2019,grasshoppers,Sphenarium sp.,scat,Sphenarium,ITIS,genus,Animalia,Arthropoda,Insecta,Pyrgomorphidae,,Sphenarium,x,
int_768,Cisneros-Moreno & Martínez-Corone 2019,n/a,Spondias,scat,Spondias,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Spondias,x,
int_769,Cisneros-Moreno & Martínez-Corone 2019,n/a,Tiranidae,scat,Tyrannidae,ITIS,family,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,x,x,
int_151,Cisneros-Moreno & Martínez-Corone 2019,Cassin's kingbird,Tyranus vociferans,scat,Tyrannus vociferans,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,Tyrannus vociferans,
int_290,Davis 1960,frogs,n/a,organ,Anura,ITIS,order,Animalia,Chordata,Amphibia,Anura,x,x,x,
int_771,Davis 1960,spiders,n/a,organ,Araneae,ITIS,order,Animalia,Arthropoda,Euchelicerata,Araneae,x,x,x,
int_772,Davis 1960,toads,n/a,organ,Bufonidae,ITIS,family,Animalia,Chordata,Amphibia,Anura,Bufonidae,x,x,
int_327,Davis 1960,grasshoppers,n/a,organ,Caelifera,ITIS,suborder,Animalia,Arthropoda,Insecta,Orthoptera,x,x,x,
int_349,Davis 1960,hackberry,n/a,organ,Celtis,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,x,
int_157,Davis 1960,Centipede,n/a,organ,Chilopoda,ITIS,class,Animalia,Arthropoda,Chilopoda,x,x,x,x,
int_148,Davis 1960,carrion,n/a,organ,Chordata,ITIS,phylum,Animalia,Chordata,x,x,x,x,x,
int_497,Davis 1960,Persimmons,Persimmons,organ,Diospyros,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,x,
int_445,Davis 1960,mistletoe,n/a,organ,Diplopoda,ITIS,class,Animalia,Arthropoda,Diplopoda,x,x,x,x,
int_205,Davis 1960,Cricket,n/a,organ,Grylloidea,ITIS,superfamily,Animalia,Arthropoda,Insecta,Orthoptera,x,x,x,
int_389,Davis 1960,insects,Insecta,organ,Insecta,ITIS,class,Animalia,Arthropoda,Insecta,x,x,x,x,
int_592,Davis 1960,small mammals,Mammalia,organ,Mammalia,ITIS,class,Animalia,Chordata,Mammalia,x,x,x,x,
int_595,Davis 1960,small passerine birds,Passeriformes,organ,Passeriformes,ITIS,order,Animalia,Chordata,Aves,Passeriformes,x,x,x,
int_536,Davis 1960,rats,Rattus,organ,Rattus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Rattus,x,
int_439,Davis 1960,mice,n/a,organ,Rodentia,ITIS,order,Animalia,Chordata,Mammalia,Rodentia,x,x,x,
int_343,Davis 1960,Ground squirrel,n/a,organ,Sciuridae,ITIS,family,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,x,x,
int_577,Davis 1960,scorpions,Scorpiones,organ,Scorpiones,ITIS,order,Animalia,Arthropoda,Euchelicerata,Scorpiones,x,x,x,
int_183,Davis 1960,snakes,Serpentes,organ,Serpentes,ITIS,suborder,Animalia,Chordata,Reptilia,Squamata,x,x,x,
int_182,Davis 1960,lizards,n/a,organ,Squamata,ITIS,order,Animalia,Chordata,Reptilia,Squamata,x,x,x,
int_190,Davis 1960,Cottontail,n/a,organ,Sylvilagus,ITIS,genus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,x,
int_977,Gonzalez 1982,none,Acrididae,multiple tissue types,Acrididae,ITIS,family,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,x,x,
int_990,Gonzalez 1982,none,Asilidae,multiple tissue types,Asilidae ,ITIS,family,Animalia,Arthropoda,Insecta,Diptera,Asilidae ,x,x,
int_1002,Gonzalez 1982,none,Aves,multiple tissue types,Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x,
int_979,Gonzalez 1982,none,Blattidae,multiple tissue types,Blattidae,ITIS,family,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,x,x,
int_1005,Gonzalez 1982,none,Buthidae,multiple tissue types,Buthidae,ITIS,family,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,x,x,
int_968,Gonzalez 1982,granjeno,Celtis pallida,multiple tissue types,Celtis pallida,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis pallida,seeds
int_987,Gonzalez 1982,none,Cicadidae,multiple tissue types,Cicadidae,ITIS,family,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,x,x,
int_989,Gonzalez 1982,none,Coreidae,multiple tissue types,Coreidae,ITIS,family,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,x,x,
int_1008,Gonzalez 1982,piedros,n/a,multiple tissue types,debris,not recognized,inorganic,x,x,x,x,x,x,x,
int_969,Gonzalez 1982,anacua,Ehretia anacua,multiple tissue types,Ehretia anacua,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Ehretiaceae,Ehretia,Ehretia anacua,seeds
int_983,Gonzalez 1982,none,Formicidae,multiple tissue types,Formicidae,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,x,x,
int_1001,Gonzalez 1982,none,Fringillidae,multiple tissue types,Fringillidae,ITIS,family,Animalia,Chordata,Aves,x,x,x,x,
int_981,Gonzalez 1982,none,Gryllidae,multiple tissue types,Gryllidae,ITIS,family,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,x,x,
int_986,Gonzalez 1982,none,Ichneumonidae,multiple tissue types,Ichneumonidae,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,x,x,
int_996,Gonzalez 1982,none,Iguanidae,multiple tissue types,Iguanidae,ITIS,family,Animalia,Chordata,Reptilia,Squamata,x,x,x,
int_1006,Gonzalez 1982,none,Julidae,multiple tissue types,Julidae,ITIS,family,Animalia,Arthropoda,Diplopoda,Julida,Julidae,x,x,
int_966,Gonzalez 1982,coyotillo o tullidora,Karwinskia humboldtiana,multiple tissue types,Karwinskia humboldtiana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Karwinskia,Karwinskia humboldtiana,seeds
int_967,Gonzalez 1982,coyotillo o tullidora,Karwinskia humboldtiana,multiple tissue types,Karwinskia humboldtiana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Karwinskia,Karwinskia humboldtiana,leaves
int_998,Gonzalez 1982,none,Leptothyphlopidae,multiple tissue types,Leptotyphlopidae,ITIS,family,Animalia,Chordata,Reptilia,Squamata,Leptotyphlopidae,x,x,
int_974,Gonzalez 1982,liquenes,none,multiple tissue types,Lichen,not recognized,lichen,x,x,x,x,x,x,x,
int_1003,Gonzalez 1982,none,Lycosidae,multiple tissue types,Lycosidae,ITIS,family,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,x,x,
int_995,Gonzalez 1982,Mamiferos,none,multiple tissue types,Mammalia,ITIS,class,Animalia,Chordata,Mammalia,x,x,x,x,
int_978,Gonzalez 1982,none,Mantidae,multiple tissue types,Mantidae,ITIS,family,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,x,x,
int_988,Gonzalez 1982,none,Myrmeleotidae,multiple tissue types,Myrmeleotidae,EOL,family,Animalia,Arthropoda,Insecta,Neuroptera,Myrmeleotidae,x,x,
int_982,Gonzalez 1982,none,Noctuidae,multiple tissue types,Noctuidae,ITIS,family,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,x,x,larvas
int_972,Gonzalez 1982,nopal,Opuntia spp. ,multiple tissue types,Opuntia,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,x,seeds
int_1010,Gonzalez 1982,papel,n/a,multiple tissue types,Paper,not recognized,human-influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,
int_1000,Gonzalez 1982,none,Paseriformes,multiple tissue types,Passeriformes,ITIS,order,Animalia,Chordata,Aves,Passeriformes,x,x,x,
int_991,Gonzalez 1982,none,Peromyscus maniculatus,multiple tissue types,Peromyscus maniculatus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus maniculatus,
int_1009,Gonzalez 1982,plastico,n/a,multiple tissue types,Plastic,not recognized,human-influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,
int_970,Gonzalez 1982,mezquite,Prosopis glandulosa,multiple tissue types,Prosopis glandulosa,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,Prosopis glandulosa,seeds
int_993,Gonzalez 1982,none,Reithrodontomys fulvescens,multiple tissue types,Reithrodontomys fulvescens,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys fulvescens,
int_976,Gonzalez 1982,none,Scarabaeidae,multiple tissue types,Scarabaidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,x,x,
int_992,Gonzalez 1982,none,Sigmodon hispidus,multiple tissue types,Sigmodon hispidus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,Sigmodon hispidus,
int_994,Gonzalez 1982,none,Sorex milleri,multiple tissue types,Sorex milleri,ITIS,species,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex milleri,
int_984,Gonzalez 1982,none,Sphecidae,multiple tissue types,Sphecidae,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Sphecidae,x,x,
int_1007,Gonzalez 1982,none,Stylommatophora,multiple tissue types,Stylommatophora,ITIS,order,Animalia,Mollusca,Gastropoda,Stylommatophora,x,x,x,
int_997,Gonzalez 1982,none,Teiidae,multiple tissue types,Teiidae,ITIS,family,Animalia,Chordata,Reptilia,Squamata,Teiidae,x,x,
int_975,Gonzalez 1982,none,Tenebrionidae,multiple tissue types,Tenebrionidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,x,x,
int_980,Gonzalez 1982,none,Tettigoniidae,multiple tissue types,Tettigoniidae,ITIS,family,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,x,x,
int_1004,Gonzalez 1982,none,Teraphosidae,multiple tissue types,Theraphosidae,ITIS,family,Animalia,Arthropoda,Euchelicerata,Araneae,Theraphosidae,x,x,
int_973,Gonzalez 1982,nogalillo,Ugnadia speciosa ,multiple tissue types,Ungnadia speciosa,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Ungnadia,Ungnadia speciosa,seeds
int_971,Gonzalez 1982,chaparro prieto,Acacia rigidula,multiple tissue types,Vachellia rigidula,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vachellia,Vachellia rigidula,seeds
int_985,Gonzalez 1982,none,Vespidae,multiple tissue types,Vespidae,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,x,x,
int_420,Grinnell et al. 1937,Madrones,n/a,observation,Arbutus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Arbutus,x,
int_426,Grinnell et al. 1937,Manzanita,n/a,observation,Arctostaphylos,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos,x,
int_654,Grinnell et al. 1937,towhees,Emberizidae,observation,Emberizidae,ITIS,family,Animalia,Chordata,Aves,Passeriformes,Emberizidae,x,x,
int_358,Grinnell et al. 1937,Heath huckleberries,n/a,observation,Ericaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Asteranae,Ericales,Ericaceae,x,
int_716,Grinnell et al. 1937,Woodrat,Neotoma spp.,observation,Neotoma,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,x,
int_615,Grinnell et al. 1937,Sparrow,Passer,observation,Passer,ITIS,genus,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,x,
int_221,Grinnell et al. 1937,Deer mouse,Peromyscus spp.,observation,Peromyscus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,x,
int_478,Grinnell et al. 1937,Oak acorns,n/a,observation,Quercus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,x,
