interaction_id,source_id,ReportedCommonName,ReportedScientificName,method,ScientificName,taxon_authority,taxon_rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,life-stage
int_0470,Alexander et al. 1994,Northern flying squirrel,Glaucomys sabrinus,scat,Glaucomys sabrinus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Glaucomys,Glaucomys sabrinus,
int_0213,Alexander et al. 1994,Darkling beetle,Helops,scat,Helops,EOL,genus,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Helops,x,
int_0672,Alexander et al. 1994,Wasp,Hymenoptera,scat,Hymenoptera,ITIS,order,Animalia,Arthropoda,Insecta,Hymenoptera,x,x,x,
int_380,Alexander et al. 1994,Insect,Insecta,scat,Insecta,ITIS,class,Animalia,Arthropoda,Insecta,x,x,x,x,
int_678,Alexander et al. 1994,Weevil,Lepesoma,scat,Lepesoma,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Curculionoidea,Lepesoma,x,
int_111,Alexander et al. 1994,Butterfly,Lepidoptera,scat,Lepidoptera,ITIS,order,Animalia,Arthropoda,Insecta,Lepidoptera,x,x,x,
int_605,Alexander et al. 1994,Snowshoe hare,Lepus americanus,scat,Lepus americanus,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus americanus,
int_728,Alexander et al. 1994,lichen,n/a,scat,Lichen,not recognized,lichen,x,x,x,x,x,x,x,
int_726,Alexander et al. 1994,wood,n/a,scat,Magnoliopsida,ITIS,class,Plantae,Tracheophyta,Magnoliopsida,x,x,x,x,
int_202,Alexander et al. 1994,Creeping vole,Microtus oregoni,scat,Microtus oregoni,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus oregoni,
int_448,Alexander et al. 1994,Mollusk,Mollusca,scat,Mollusca,ITIS,phylum,Animalia,Mollusca,x,x,x,x,x,shell
