pop_cat_id,pop_id,source_id,sample_type,reported_category,reported_value,season,metric_verbatim,value_location,notes
popcat_319,Alexander et al. 1994,Alexander et al. 1994,scat,rocks,5,annual,percent frequency of occurrence,Table 1,
popcat_320,Alexander et al. 1994,Alexander et al. 1994,scat,plants,93,annual,percent frequency of occurrence,Table 1,
popcat_321,Alexander et al. 1994,Alexander et al. 1994,scat,mammal,66,annual,percent frequency of occurrence,Table 1,
popcat_322,Alexander et al. 1994,Alexander et al. 1994,scat,aves,13,annual,percent frequency of occurrence,Table 1,
popcat_323,Alexander et al. 1994,Alexander et al. 1994,scat,reptiles,2,annual,percent frequency of occurrence,Table 1,
popcat_324,Alexander et al. 1994,Alexander et al. 1994,scat,unidentified vertebrate,7,annual,percent frequency of occurrence,Table 1,
popcat_325,Alexander et al. 1994,Alexander et al. 1994,scat,Mollusca,2,annual,frequency of occurrency,Table 1,
popcat_326,Alexander et al. 1994,Alexander et al. 1994,scat,insecta,66,annual,percent frequency of occurrence,Table 1,
popcat_327,Alexander et al. 1994,Alexander et al. 1994,scat,rocks,3,annual,frequency of occurrency,Table 1,
popcat_328,Alexander et al. 1994,Alexander et al. 1994,scat,plants,52,annual,frequency of occurrency,Table 1,
popcat_329,Alexander et al. 1994,Alexander et al. 1994,scat,mammal,37,annual,frequency of occurrency,Table 1,
popcat_330,Alexander et al. 1994,Alexander et al. 1994,scat,aves,7,annual,frequency of occurrency,Table 1,
popcat_331,Alexander et al. 1994,Alexander et al. 1994,scat,reptiles,1,annual,frequency of occurrency,Table 1,
popcat_332,Alexander et al. 1994,Alexander et al. 1994,scat,unidentified vertebrate,4,annual,frequency of occurrency,Table 1,
popcat_333,Alexander et al. 1994,Alexander et al. 1994,scat,Mollusca,1,annual,frequency of occurrency,Table 1,
popcat_334,Alexander et al. 1994,Alexander et al. 1994,scat,insecta,37,annual,frequency of occurrency,Table 1,
popcat_335,Toweill and Treer 1977,Toweill and Treer 1977,scat,plants,90.6,annual,percent frequency of occurrence,from Alexader 1994,
popcat_336,Trapp 1973,Trapp 1973,scat,Mammalia,55,annual,percent frequency of occurrence,Table 10,
popcat_337,Trapp 1973,Trapp 1973,scat,Arthropoda,53,annual,percent frequency of occurrence,Table 10,
popcat_338,Trapp 1973,Trapp 1973,scat,Fruits,46,annual,percent frequency of occurrence,Table 10,
popcat_339,Trapp 1973,Trapp 1973,scat,Unidentified vegetable matter,17,annual,percent frequency of occurrence,Table 10,
popcat_340,Trapp 1973,Trapp 1973,scat,Unidentified matter,8,annual,percent frequency of occurrence,Table 10,
popcat_341,Trapp 1973,Trapp 1973,scat,"Miscellaneous (paper, foil, etc)",6,annual,percent frequency of occurrence,Table 10,
popcat_342,Trapp 1973,Trapp 1973,scat,Aves,15,annual,percent frequency of occurrence,Table 10,
popcat_343,Trapp 1973,Trapp 1973,scat,"Poikilotherms, etc",7,annual,percent frequency of occurrence,Table 10,
popcat_344,Trapp 1973,Trapp 1973,scat,Grasses & Sedges,4,annual,percent frequency of occurrence,Table 10,
popcat_345,Trapp 1973,Trapp 1973,scat,Raisins,19,annual,percent frequency of occurrence,Table 10,
popcat_346,Trapp 1973,Trapp 1973,scat,Mammalia,125,annual,count,Appendix D18,
popcat_347,Trapp 1973,Trapp 1973,scat,Arthropoda,120,annual,count,Appendix D18,
popcat_348,Trapp 1973,Trapp 1973,scat,Fruits,105,annual,count,Appendix D18,
popcat_349,Trapp 1973,Trapp 1973,scat,Unidentified vegetable matter,39,annual,count,Appendix D18,
popcat_350,Trapp 1973,Trapp 1973,scat,Unidentified matter,18,annual,count,Appendix D18,
popcat_351,Trapp 1973,Trapp 1973,scat,"Miscellaneous (paper, foil, etc)",14,annual,count,Appendix D18,
popcat_352,Trapp 1973,Trapp 1973,scat,Aves,33,annual,count,Appendix D18,
popcat_353,Trapp 1973,Trapp 1973,scat,"Poikilotherms, etc",15,annual,count,Appendix D18,
popcat_354,Trapp 1973,Trapp 1973,scat,Grasses & Sedges,10,annual,count,Appendix D18,
popcat_355,Trapp 1973,Trapp 1973,scat,Raisins,42,annual,count,Appendix D18,
popcat_356,Rivera Bañuelos 2016,,,,,,,Figura 10 ,
popcat_357,Castellanos-Amador 2009,Castellanos-Amador 2009,scat,plantas,61,none,percent relative frequency of occurrence,from text page 10 of Rivera Bañuelos 2016,
popcat_358,Castellanos-Amador 2009,Castellanos-Amador 2009,scat,mamiferos,26,none,percent relative frequency of occurrence,from text page 10 of Rivera Bañuelos 2016,
popcat_359,Castellanos-Amador 2009,Castellanos-Amador 2009,scat,insectos,13,none,percent relative frequency of occurrence,from text page 10 of Rivera Bañuelos 2016,
popcat_360,Castellanos-Amador 2009,Castellanos-Amador 2009,scat,reptiles,trace,none,percent relative frequency of occurrence,from text page 10 of Rivera Bañuelos 2016,
popcat_361,Castellanos-Amador 2009,Castellanos-Amador 2009,scat,aves,trace,none,percent relative frequency of occurrence,from text page 10 of Rivera Bañuelos 2016,
popcat_362,Jiménez-García 2008,Jiménez-García 2008,scat,"mamíferos con el 74.67%, mientras que  en  el  material  vegetal  se  observa  casi  el  mismo  porcentaje  con  el  72.67%  los  cuales   destacan  Yucca sp   (53.33%),   Malpighiaceae   (49.07%),  Taxodium mucronatum (44.44%),   sp15   (40%)   y  Bursera  sp   (39.35%)   que   fueron   los  porcentajes  mayores  en  el  consumo  anual.  Rattus  norvegicus (44.05%),  Sorex vagrans (38.61%), Liomys  irrorratus (31.48%)  y Mus  musculus (31.11%),  son  las  principales especies presas en la alimentación anual. Dentro de los artrópodos la  10mayor  preferencia  fueron Chalcididae  (50%),  Coleóptero  (36.89%)  y  Díptero  (30.56%). Los reptiles y aves fueron consumidos ocasionalmente.",74.67,,,,
popcat_363,Jiménez-García 2008,Jiménez-García 2008,scat,el material vegetal,72.67,,,,
popcat_364,Jiménez-García 2008,Jiménez-García 2008,scat,artrópodos,,,,,
popcat_365,Jiménez-García 2008,Jiménez-García 2008,scat,reptiles,trace,,,,
popcat_366,Jiménez-García 2008,Jiménez-García 2008,scat,aves,trace,,,,
popcat_367,Romero-Ramírez 2008,Romero-Ramírez 2008,scat,el material vegetal,52.5,,,,
popcat_368,Romero-Ramírez 2008,Romero-Ramírez 2008,scat,artrópodos,19.03,,,,
popcat_369,Romero-Ramírez 2008,Romero-Ramírez 2008,scat,mamíferos,12.5,,,,
popcat_370,Romero-Ramírez 2008,Romero-Ramírez 2008,scat,aves,7,,,,
popcat_371,Romero-Ramírez 2008,Romero-Ramírez 2008,scat,reptiles,12.62,,,,
popcat_372,Harrison 2012,Harrison 2012,scat,plants,82.5,none,frequency of occurrence,Table 5,
popcat_373,Harrison 2012,Harrison 2012,scat,birds,26.1,none,frequency of occurrence,Table 5,
popcat_374,Harrison 2012,Harrison 2012,scat,mammals,40.4,none,frequency of occurrence,Table 5,
popcat_375,Harrison 2012,Harrison 2012,scat,reptiles,2.2,none,frequency of occurrence,Table 5,
popcat_376,Harrison 2012,Harrison 2012,scat,unidentified vertebrate,0.1,none,frequency of occurrence,Table 5,
popcat_377,Harrison 2012,Harrison 2012,scat,arthropods,48.1,none,frequency of occurrence,Table 5,
popcat_378,Harrison 2012,Harrison 2012,scat,plants,33.6,none,relative frequency of occurrence,Table 5,
popcat_379,Harrison 2012,Harrison 2012,scat,birds,7.7,none,relative frequency of occurrence,Table 5,
popcat_380,Harrison 2012,Harrison 2012,scat,mammals,12.3,none,relative frequency of occurrence,Table 5,
popcat_381,Harrison 2012,Harrison 2012,scat,reptiles,0.7,none,relative frequency of occurrence,Table 5,
popcat_382,Harrison 2012,Harrison 2012,scat,unidentified vertebrate,0.3,none,relative frequency of occurrence,Table 5,
popcat_383,Harrison 2012,Harrison 2012,scat,arthropods,45.4,none,relative frequency of occurrence,Table 5,
popcat_384,Orloff 1976,Orloff 1976,scat,birds,45,,frequency of occurrence,from text in Lemoine 1977,
popcat_385,Orloff 1976,Orloff 1976,scat,mammals,25,,frequency of occurrence,from text in Lemoine 1977,
popcat_386,Orloff 1976,Orloff 1976,scat,plant,20,,frequency of occurrence,from text in Lemoine 1977,
popcat_387,Orloff 1976,Orloff 1976,scat,insect,60,,frequency of occurrence,from text in Lemoine 1977,
popcat_388,Orloff 1976,Orloff 1976,scat,birds,75,,percent volume,from text in Lemoine 1977,
popcat_389,Orloff 1976,Orloff 1976,scat,mammals,51,,,,
popcat_390,Orloff 1976,Orloff 1976,scat,plant,60,,,,
popcat_391,Orloff 1976,Orloff 1976,scat,insect,trace,,,,
popcat_392,Lemoine 1977,Lemoine 1977,scat,plant,66.7,spring,F%,II-50,
popcat_393,Lemoine 1977,Lemoine 1977,scat,insect,83.3,spring,F%,II-50,
popcat_394,Lemoine 1977,Lemoine 1977,scat,mammal,66.7,spring,F%,II-50,
popcat_395,Lemoine 1977,Lemoine 1977,scat,bird,88.3,spring,F%,II-50,
popcat_396,Lemoine 1977,Lemoine 1977,scat,plant,85.7,summer,F%,II-50,
popcat_397,Lemoine 1977,Lemoine 1977,scat,insect,78.6,summer,F%,II-50,
popcat_398,Lemoine 1977,Lemoine 1977,scat,mammal,64.3,summer,F%,II-50,
popcat_399,Lemoine 1977,Lemoine 1977,scat,bird,35.7,summer,F%,II-50,
popcat_400,Lemoine 1977,Lemoine 1977,scat,plant,100,fall,F%,II-50,
popcat_401,Lemoine 1977,Lemoine 1977,scat,insect,100,fall,F%,II-50,
popcat_402,Lemoine 1977,Lemoine 1977,scat,mammal,16.7,fall,F%,II-50,
popcat_403,Lemoine 1977,Lemoine 1977,scat,bird,33.3,fall,F%,II-50,
popcat_404,Lemoine 1977,Lemoine 1977,scat,plant,80.8,annual,F%,II-50,
popcat_405,Lemoine 1977,Lemoine 1977,scat,insect,80.8,annual,F%,II-50,
popcat_406,Lemoine 1977,Lemoine 1977,scat,mammal,57.5,annual,F%,II-50,
popcat_407,Lemoine 1977,Lemoine 1977,scat,bird,46.2,annual,F%,II-50,
popcat_408,Lemoine 1977,Lemoine 1977,scat,plant,61.3,spring,Vol%,II-50,
popcat_409,Lemoine 1977,Lemoine 1977,scat,insect,6.7,spring,Vol%,II-50,
popcat_410,Lemoine 1977,Lemoine 1977,scat,mammal,18.3,spring,Vol%,II-50,
popcat_411,Lemoine 1977,Lemoine 1977,scat,bird,12.0,spring,Vol%,II-50,
popcat_412,Lemoine 1977,Lemoine 1977,scat,plant,56.5,summer,Vol%,II-50,
popcat_413,Lemoine 1977,Lemoine 1977,scat,insect,6.8,summer,Vol%,II-50,
popcat_414,Lemoine 1977,Lemoine 1977,scat,mammal,21.8,summer,Vol%,II-50,
popcat_415,Lemoine 1977,Lemoine 1977,scat,bird,13.0,summer,Vol%,II-50,
popcat_416,Lemoine 1977,Lemoine 1977,scat,plant,71.5,fall,Vol%,II-50,
popcat_417,Lemoine 1977,Lemoine 1977,scat,insect,16.9,fall,Vol%,II-50,
popcat_418,Lemoine 1977,Lemoine 1977,scat,mammal,trace,fall,Vol%,II-50,
popcat_419,Lemoine 1977,Lemoine 1977,scat,bird,1,fall,Vol%,II-50,
popcat_420,Lemoine 1977,Lemoine 1977,scat,plant,61.9,annual,Vol%,II-50,
popcat_421,Lemoine 1977,Lemoine 1977,scat,insect,9.9,annual,Vol%,II-50,
popcat_422,Lemoine 1977,Lemoine 1977,scat,mammal,16.0,annual,Vol%,II-50,
popcat_423,Lemoine 1977,Lemoine 1977,scat,bird,9.7,annual,Vol%,II-50,
popcat_424,Lemoine 1977,Lemoine 1977,scat,plant,21,annual,F,Appendix C,
popcat_425,Lemoine 1977,Lemoine 1977,scat,insect,21,annual,F,Appendix C,
popcat_426,Lemoine 1977,Lemoine 1977,scat,mammal,15,annual,F,Appendix C,
popcat_427,Lemoine 1977,Lemoine 1977,scat,bird,12,annual,F,Appendix C,
popcat_428,Lemoine 1977,Lemoine 1977,scat,unidentified reptile or amphibian parts,2,annual,F,Appendix C,
popcat_429,Lemoine 1977,Lemoine 1977,scat,"debris (rock, unidentified matter)",4,annual,F,Appendix C,
popcat_430,Lemoine 1977,Lemoine 1977,scat,plant,80.8,annual,F%,Appendix C,
popcat_431,Lemoine 1977,Lemoine 1977,scat,insect,80.8,annual,F%,Appendix C,
popcat_432,Lemoine 1977,Lemoine 1977,scat,mammal,57.69,annual,F%,Appendix C,
popcat_433,Lemoine 1977,Lemoine 1977,scat,unidentified reptile or amphibian parts,7.7,annual,F%,Appendix C,
popcat_434,Lemoine 1977,Lemoine 1977,scat,"debris (rock, unidentified matter)",15.3,annual,F%,Appendix C,
popcat_435,Lemoine 1977,Lemoine 1977,scat,bird,46.15,annual,F%,Appendix C,
popcat_436,Lemoine 1977,Lemoine 1977,scat,plant,61.9,annual,Vol%,Appendix C,
popcat_437,Lemoine 1977,Lemoine 1977,scat,insect,16,annual,Vol%,Appendix C,
popcat_438,Lemoine 1977,Lemoine 1977,scat,mammal,16,annual,Vol%,Appendix C,
popcat_439,Lemoine 1977,Lemoine 1977,scat,bird,9.7,annual,Vol%,Appendix C,
popcat_440,Lemoine 1977,Lemoine 1977,scat,unidentified reptile or amphibian parts,1,annual,Vol%,Appendix C,
popcat_441,Lemoine 1977,Lemoine 1977,scat,"debris (rock, unidentified matter)",1,annual,Vol%,Appendix C,
popcat_442,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,frutos,38.46,primavera,frecuencia relativa,Cuadro 2,
popcat_443,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,pastos,1.28,primavera,frecuencia relativa,Cuadro 2,
popcat_444,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,artropodos,19.23,primavera,frecuencia relativa,Cuadro 2,
popcat_445,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,aves,17.95,primavera,frecuencia relativa,Cuadro 2,
popcat_446,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,huevos,1.28,primavera,frecuencia relativa,Cuadro 2,
popcat_447,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,mamiferos,1.28,primavera,frecuencia relativa,Cuadro 2,
popcat_448,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,dulces,12.82,primavera,frecuencia relativa,Cuadro 2,
popcat_449,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,otros,7.69,primavera,frecuencia relativa,Cuadro 2,
popcat_450,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,frutos,59.46,verano,frecuencia relativa,Cuadro 2,
popcat_451,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,pastos,0,verano,frecuencia relativa,Cuadro 2,
popcat_452,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,artropodos,13.51,verano,frecuencia relativa,Cuadro 2,
popcat_453,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,aves,18.92,verano,frecuencia relativa,Cuadro 2,
popcat_454,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,huevos,0,verano,frecuencia relativa,Cuadro 2,
popcat_455,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,mamiferos,2.70,verano,frecuencia relativa,Cuadro 2,
popcat_456,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,dulces,0,verano,frecuencia relativa,Cuadro 2,
popcat_457,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,otros,5.41,verano,frecuencia relativa,Cuadro 2,
popcat_458,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,frutos,37.04,otoño,frecuencia relativa,Cuadro 2,
popcat_459,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,pastos,3.70,otoño,frecuencia relativa,Cuadro 2,
popcat_460,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,artropodos,18.52,otoño,frecuencia relativa,Cuadro 2,
popcat_461,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,aves,33.33,otoño,frecuencia relativa,Cuadro 2,
popcat_462,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,huevos,3.70,otoño,frecuencia relativa,Cuadro 2,
popcat_463,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,mamiferos,0,otoño,frecuencia relativa,Cuadro 2,
popcat_464,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,dulces,3.70,otoño,frecuencia relativa,Cuadro 2,
popcat_465,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,otros,0,otoño,frecuencia relativa,Cuadro 2,
popcat_466,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,frutos,37.88,Invierno,frecuencia relativa,Cuadro 2,
popcat_467,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,pastos,0,Invierno,frecuencia relativa,Cuadro 2,
popcat_468,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,artropodos,13.64,Invierno,frecuencia relativa,Cuadro 2,
popcat_469,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,aves,15/15,Invierno,frecuencia relativa,Cuadro 2,
popcat_470,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,huevos,3.03,Invierno,frecuencia relativa,Cuadro 2,
popcat_471,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,mamiferos,1.52,Invierno,frecuencia relativa,Cuadro 2,
popcat_472,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,dulces,12.12,Invierno,frecuencia relativa,Cuadro 2,
popcat_473,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,otros,16.67,Invierno,frecuencia relativa,Cuadro 2,
popcat_474,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,frutos,69.23,primavera,frecuencia relativa,Cuadro 2,
popcat_475,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,pastos,0,primavera,frecuencia relativa,Cuadro 2,
popcat_476,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,artropodos,15.38,primavera,frecuencia relativa,Cuadro 2,
popcat_477,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,aves,7.69,primavera,frecuencia relativa,Cuadro 2,
popcat_478,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,huevos,0,primavera,frecuencia relativa,Cuadro 2,
popcat_479,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,mamiferos,3.85,primavera,frecuencia relativa,Cuadro 2,
popcat_480,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,dulces,0,primavera,frecuencia relativa,Cuadro 2,
popcat_481,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,otros,3.85,primavera,frecuencia relativa,Cuadro 2,
popcat_482,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,frutos,54.29,verano,frecuencia relativa,Cuadro 2,
popcat_483,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,pastos,0,verano,frecuencia relativa,Cuadro 2,
popcat_484,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,artropodos,25.71,verano,frecuencia relativa,Cuadro 2,
popcat_485,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,aves,11.43,verano,frecuencia relativa,Cuadro 2,
popcat_486,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,huevos,0,verano,frecuencia relativa,Cuadro 2,
popcat_487,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,mamiferos,2.86,verano,frecuencia relativa,Cuadro 2,
popcat_488,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,dulces,0,verano,frecuencia relativa,Cuadro 2,
popcat_489,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,otros,2.86,verano,frecuencia relativa,Cuadro 2,
popcat_490,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,frutos,66.67,otoño,frecuencia relativa,Cuadro 2,
popcat_491,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,pastos,3.33,otoño,frecuencia relativa,Cuadro 2,
popcat_492,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,artropodos,26.19,otoño,frecuencia relativa,Cuadro 2,
popcat_493,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,aves,0,otoño,frecuencia relativa,Cuadro 2,
popcat_494,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,huevos,6.67,otoño,frecuencia relativa,Cuadro 2,
popcat_495,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,mamiferos,0,otoño,frecuencia relativa,Cuadro 2,
popcat_496,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,dulces,0,otoño,frecuencia relativa,Cuadro 2,
popcat_497,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,otros,0,otoño,frecuencia relativa,Cuadro 2,
popcat_498,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,frutos,63.64,Invierno,frecuencia relativa,Cuadro 2,
popcat_499,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,pastos,0,Invierno,frecuencia relativa,Cuadro 2,
popcat_500,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,artropodos,36.36,Invierno,frecuencia relativa,Cuadro 2,
popcat_501,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,aves,0,Invierno,frecuencia relativa,Cuadro 2,
popcat_502,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,huevos,0,Invierno,frecuencia relativa,Cuadro 2,
popcat_503,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,mamiferos,0,Invierno,frecuencia relativa,Cuadro 2,
popcat_504,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,dulces,0,Invierno,frecuencia relativa,Cuadro 2,
popcat_505,Cisneros-Moreno and Martínez-Corone 2019b,Cisneros-Moreno and Martínez-Corone 2019,scat,otros,0,Invierno,frecuencia relativa,Cuadro 2,
popcat_506,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,Magnoliopsida,87,annual,frecuencia,Cuadro 1,
popcat_507,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,Liliopsida,2,annual,frecuencia,Cuadro 1,
popcat_508,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,Aves,40,annual,frecuencia,Cuadro 1,
popcat_509,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,Huevos,4,annual,frecuencia,Cuadro 1,
popcat_510,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,Arachnida,0,annual,frecuencia,Cuadro 1,
popcat_511,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,Insecta,34,annual,frecuencia,Cuadro 1,
popcat_512,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,Mammalia,3,annual,frecuencia,Cuadro 1,
popcat_513,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,Dulces,19,annual,frecuencia,Cuadro 1,
popcat_514,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,Otros,19,annual,frecuencia,Cuadro 1,
popcat_515,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,Magnoliopsida,41.83,annual,frecuencia relativa,Cuadro 1,
popcat_516,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,Liliopsida,0.96,annual,frecuencia relativa,Cuadro 1,
popcat_517,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,Aves,19.23,annual,frecuencia relativa,Cuadro 1,
popcat_518,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,Huevos,1.92,annual,frecuencia relativa,Cuadro 1,
popcat_519,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,Arachnida,0,annual,frecuencia relativa,Cuadro 1,
popcat_520,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,Insecta,16.35,annual,frecuencia relativa,Cuadro 1,
popcat_521,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,Mammalia,1.44,annual,frecuencia relativa,Cuadro 1,
popcat_522,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,Dulces,9.13,annual,frecuencia relativa,Cuadro 1,
popcat_523,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,Otros,9.13,annual,frecuencia relativa,Cuadro 1,
popcat_524,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,Magnoliopsida,n/a,annual,frecuencia de ocurrencia,Cuadro 1,
popcat_525,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,Liliopsida,n/a,annual,frecuencia de ocurrencia,Cuadro 1,
popcat_526,Cisneros-Moreno and Martínez-Corone 2019a,Cisneros-Moreno and Martínez-Corone 2019,scat,Aves,n/a,annual,frecuencia de ocurrencia,Cuadro 1,
