interaction_id,source_id,pop_id,ReportedCommonName,ReportedScientificName,method,count_sample,count_dietitems,percent_FO,percent_relativeFO,percent_weight,percent_volume,via,percent_IV,HarmonizedScientificName,study_specificity,life-stage,winter,spring,summer,autumn,location_of_interaction,notes
int_0006,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Eublepharis gecko,Eublepharidae,scat,,,,,,,,n/a,Eublepharidae,unique,,,,,,Table 4; page 177 - 178,
int_0007,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Peas,Fabaceae,scat,,,,,,,,n/a,Fabaceae,unique,,,,,,Table 4; page 177 - 178,
int_0008,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Iguana,Iguanidae,scat,,,,,,,,n/a,Iguanidae,unique,,,,,,Table 4; page 177 - 178,
int_0009,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Juniper,Juniperus,scat,,,,,,,,n/a,Juniperus,unique,,,,,,Table 4; page 177 - 178,
int_0010,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Butterfly,Lepidoptera,scat,,,,,,,,n/a,Lepidoptera,unique,,,,,,Table 4; page 177 - 178,
int_0012,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Rat,Muridae,scat,,,,,,,,n/a,Muridae,unique,,,,,,Table 4; page 177 - 178,
int_0013,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Neuroptera,Neuroptera,scat,,,,,,,,n/a,Neuroptera,unique,,,,,,Table 4; page 177 - 178,
int_0014,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Grasshopper,Orthoptera,scat,,,,,,,,n/a,Orthoptera,unique,,,,,,Table 4; page 177 - 178,
int_0016,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Soapberry,Sapindus sp. ,scat,,,,,,,,n/a,Sapindus,unique,,,,,,Table 4; page 177 - 178,
int_0017,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Ground squirrel,Sciuridae,scat,,,,,,,,n/a,Sciuridae,unique,,,,,,Table 4; page 177 - 178,
int_0018,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Scorpionidae,Scorpionidae,scat,,,,,,,,n/a,Scorpionidae,unique,,,,,,Table 4; page 177 - 178,
int_0019,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Spirobolida,Spirobolida,scat,,,,,,,,n/a,Spirobolida,unique,,,,,,Table 4; page 177 - 178,
int_0020,Alexander et al. 1994,Alexander et al. 1994,Fir,Abies,scat,n/a,,,n/a,n/a,n/a,,n/a,Abies,unique,,,,,,Table 1; page 97 - 101 text,
int_0021,Alexander et al. 1994,Alexander et al. 1994,Bigleaf maple,Acer macrophyllum,scat,n/a,,,n/a,n/a,n/a,,n/a,Acer macrophyllum,unique,seeds,,,,,Table 1; page 97 - 101 text,
int_0029,Alexander et al. 1994,Alexander et al. 1994,Coelocnemis,Coelocnemis,scat,n/a,,,n/a,n/a,n/a,,n/a,Anthicus dilaticollis,unique,,,,,,Table 1; page 97 - 101 text,
int_0022,Alexander et al. 1994,Alexander et al. 1994,Bee,Apidae,scat,n/a,,,n/a,n/a,n/a,,n/a,Apidae,unique,,,,,,Table 1; page 97 - 101 text,
int_0023,Alexander et al. 1994,Alexander et al. 1994,Spider,Araneae,scat,n/a,,,n/a,n/a,n/a,,n/a,Araneae,unique,,,,,,Table 1; page 97 - 101 text,
int_0024,Alexander et al. 1994,Alexander et al. 1994,Bird,Aves,scat,n/a,,,n/a,n/a,n/a,,n/a,Aves,unique,adult,,,,,Table 1; page 97 - 101 text,
