MonthYear,Season,ID_Complete,Latrine_Type,Latrine_Site,Latrine_Name,Segment_ID,Fragment_ID,Fragment_Type,Fragment_Description,Fragment_Weight,Common_Name,Reported_Name,Scientific_Name,Taxonomic_Level,Kingdom,Phylum,Class,Order,Family,Genus,Species,Photo
Nov2020,Winter,X,Building,MY3_Nov2020,MY3_Nov2021,MY3_S3_Nov2020,MY3_S3_F4_Nov2020,Vertebrate,Bone,0.0917,Unknown Vertebrate,Chordata,,Phylum,Animalia,Chordata,n/a,n/a,n/a,n/a,n/a,https://drive.google.com/file/d/12t8IqP2AmcBX3qC8o5if4oDOxEH9QKoZ/view?usp=sharing
Nov2020,Winter,X,Building,MY3_Nov2020,MY3_Nov2021,MY3_S4_Nov2020,MY3_S4_F2_Nov2020,Vertebrate,Bone,0.0074,Unknown Vertebrate,Chordata,,Phylum,Animalia,Chordata,n/a,n/a,n/a,n/a,n/a,https://drive.google.com/file/d/1HJBDDk2R9WGMaYeSSgK7o7bfysFnHUEs/view?usp=sharing
Nov2020,Winter,X,Building,MY4_Nov2020,MY4_Nov2021,MY4_S1_Nov2020,MY4_S1_F1_Nov2020,Vertebrate,Bone,0.0125,Unknown Vertebrate,Chordata,,Phylum,Animalia,Chordata,n/a,n/a,n/a,n/a,n/a,https://drive.google.com/file/d/1r9KNubw7ZbvekXCNbcDwJ-mj2ZBYrUT7/view?usp=sharing
Jan2021,Winter,X,Building,MY4_Jan2021,MY4_Jan2021,MY4_S3_Jan2021,MY4_S3_F1_Jan2021,Vertebrate,Bone,0.3249,Unknown Vertebrate,Chordata,,Phylum,Animalia,Chordata,n/a,n/a,n/a,n/a,n/a,https://drive.google.com/file/d/1EnHNCP_hqPDRWRBMngA9N8bIniZJKFTa/view?usp=sharing
Nov2020,Winter,X,Building,MY6_Nov2020,MY6_Nov2021,MY6_S2_Nov2020,MY6_S2_F2_Nov2020,Vertebrate,Bone,0.0088,Unknown Vertebrate,Chordata,,Phylum,Animalia,Chordata,,n/a,n/a,n/a,n/a,https://drive.google.com/file/d/1siShbltEwoaatN-vd4ZuoSYjNlGDVza6/view?usp=sharing
Nov2020,Winter,X,Building,MY6_Nov2020,MY6_Nov2021,MY6_S8_Nov2020,MY6_S8_F3_Nov2020,Vertebrate,Bone,0.0088,Unknown Vertebrate,Chordata,,Phylum,Animalia,Chordata,n/a,n/a,n/a,n/a,n/a,https://drive.google.com/file/d/1mHHlXQVP_VKSyDGPJWOBA1RNecIf4w9I/view?usp=sharing
Nov2020,Winter,X,Building,MY6_Nov2020,MY6_Nov2021,MY6_S9_Nov2020,MY6_S9_F2_Nov2020,Vertebrate,Bone,0.0541,Unknown Vertebrate,Chordata,,Phylum,Animalia,Chordata,n/a,n/a,n/a,n/a,n/a,https://drive.google.com/file/d/1mHHlXQVP_VKSyDGPJWOBA1RNecIf4w9I/view?usp=sharing
Jan2021,Winter,X,Building,RW_Jan2021,RW,RW_S1_Jan2021,RW_S1_F2_Jan2021,Vertebrate,Bone,0.2764,Unknown Vertebrate,Unknown Vertebrate,,Phylum,Animalia,Chordata,n/a,n/a,n/a,n/a,n/a,https://drive.google.com/file/d/1MQBypIIDaoN1DQ0fVwEQRmtbttzqRIcu/view?usp=sharing
Nov2020,Winter,X,Building,ZL2_Nov2020,ZL2_Nov2021,ZL2_S2_Nov2020,ZL2_S2_F3_Nov2020,Vertebrate,Bone,0.0644,Unknown Vertebrate,Chordata,,Phylum,Animalia,Chordata,n/a,n/a,n/a,n/a,n/a,https://drive.google.com/file/d/1yU1LABvMbpXcZ856caXIf0iHmUdUj6jY/view?usp=sharing
Nov2020,Winter,X,Building,ZL2_Nov2020,ZL2_Nov2021,ZL2_S3_Nov2020,ZL2_S3_F2_Nov2020,Vertebrate,Bone,0.0351,Unknown Vertebrate,Chordata,,Phylum,Animalia,Chordata,n/a,n/a,n/a,n/a,n/a,https://drive.google.com/file/d/13gSZAg-TTCdgJ9b17Miynxu0UMO8-87X/view?usp=sharing
Nov2020,Winter,X,Building,ZL2_Nov2020,ZL2_Nov2021,ZL2_S4_Nov2020,ZL2_S4_F3_Nov2020,Vertebrate,Bone,0.0165,Unknown Vertebrate,Chordata,,Phylum,Animalia,Chordata,n/a,n/a,n/a,n/a,n/a,https://drive.google.com/file/d/1QIJmL88QYxDs4HLe5wrcLr3YGSQJ7Jj5/view?usp=sharing
Nov2020,Winter,X,Building,ZL2_Nov2020,ZL2_Nov2021,ZL2_S5_Nov2020,ZL2_S5_F2_Nov2020,Vertebrate,Bone,0.0229,Unknown Vertebrate,Chordata,,Phylum,Animalia,Chordata,n/a,n/a,n/a,n/a,n/a,https://drive.google.com/file/d/1eeWD8xj89CCxOS1SHuOk8GYM8zvhzhIK/view?usp=sharing
Nov2020,Winter,X,Building,ZL3_Nov2020,ZL3_Nov2021,ZL3_S10_Nov2020,ZL3_S10_F2_Nov2020,Vertebrate,Bone,0.0234,Unknown Vertebrate,Chordata,,Phylum,Animalia,Chordata,n/a,n/a,n/a,n/a,n/a,https://drive.google.com/file/d/1FBxCZakeebmg01nLBPGXHAr_49hAQy8v/view?usp=sharing
Nov2020,Winter,X,Building,ZL3_Nov2020,ZL3_Nov2021,ZL3_S2_Nov2020,ZL3_S2_F1_Nov2020,Vertebrate,Bone,0.0342,Unknown Vertebrate,Chordata,,Phylum,Animalia,Chordata,n/a,n/a,n/a,n/a,n/a,https://drive.google.com/file/d/1bvb-WVyMgcMJRXYE8PQftzdfW05lw15S/view?usp=sharing
Nov2020,Winter,X,Building,ZL4_Nov2020,ZL4_Nov2021,ZL4_S10_Nov2020,ZL4_S10_F2_Nov2020,Vertebrate,Bone,0.0609,Unknown Vertebrate,Chordata,,Phylum,Animalia,Chordata,n/a,n/a,n/a,n/a,n/a,https://drive.google.com/file/d/1Ds65VYhpdV8cszVL9NProKSXdKVWGYVw/view?usp=sharing
Nov2020,Winter,X,Building,ZL4_Nov2020,ZL4_Nov2021,ZL4_S4_Nov2020,ZL4_S4_F2_Nov2020,Vertebrate,Bone,0.1199,Unknown Vertebrate,Chordata,,Phylum,Animalia,Chordata,n/a,n/a,n/a,n/a,n/a,https://drive.google.com/file/d/1Ds65VYhpdV8cszVL9NProKSXdKVWGYVw/view?usp=sharing
Nov2020,Winter,X,Building,ZL6_Nov2020,ZL6_Nov2021,ZL6_S1_Nov2020,ZL6_S1_F2_Nov2020,Vertebrate,Bone,0.1604,Unknown Vertebrate,Chordata,,Phylum,Animalia,Chordata,n/a,n/a,n/a,n/a,n/a,
