interaction_id,No,sample_id,sample_type,verbatim_text,ReportedName,reported_percentage,ScientificName,taxon_authority,taxon_rank,life-stage,notes
di_950,M40233,M40233s,stomach,Orthoptera: Acrididae,Acrididae,25,,,,,
di_951,M40233,M40233s,stomach,Coleoptera: Dermestidae (larvae),Dermestidae,10,,,,,
di_952,M40233,M40233s,stomach,"Hymenoptera, Formicidae: Crematogaster lineolata leviuscula",Crematogaster lineolata leviuscola ,5,,,,,
di_953,M40233,M40233s,stomach,Scorpionida,Scorpionida,30,,,,,
di_954,M40233,M40233s,stomach,Araneida,Araneida,4,,,,,
di_955,M40233,M40233s,stomach,claw and hair of Bassarsicus astutus,Bassariscus astutus,0.2 cc,,,,,
di_956,M40233,M40233s,stomach,trap debris,debris,0.25 cc,,,,,
di_957,M40233,M40233si,small intestine,Diospyros texana - seeds and skins,Diospyros texana,43,,,,,
di_958,M40233,M40233si,small intestine,Orthoptera: Acrididae,Acrididae,17,,,,,
di_959,M40233,M40233si,small intestine,Hymenoptera: Formicidae: Crematogaster lineolata leviuscola ,Crematogaster lineolata leviuscola ,trace,,,,,
di_960,M40233,M40233si,small intestine,Scropionida,Scropionida,29,,,,,
di_961,M40233,M40233si,small intestine,Araneida,Araneida,11,,,,,
di_962,M40233,M40233si,small intestine,"Reptilia, Iguanidae: Sceloporus sp. (scales)",Sceloporus,trace,,,,,
di_963,M40233,M40233si,small intestine,Reptilia: undet. scales,Reptilia,trace,,,,,
di_964,M40233,M40233si,small intestine,"Mammalia, Leporidae: 3 hairs ",Leporidae,trace,,,,,
di_965,M40233,M40233si,small intestine,"trace of B. astutus, hair and claw",B. astutus,trace,,,,,
di_966,M40233,M40233si,small intestine,trap debris,debris,trace,,,,,
di_967,M40233,M40233c,colon,Diospyros texana - seeds and skins,Dispyros texana,97,,,,,
di_968,M40233,M40233c,colon,Orthoptera: Acrididae,Acrididae,2,,,,,
di_969,M40233,M40233c,colon,Scorpionida ,Scorpionida ,1,,,,,
di_970,M40233,M40233c,colon,Odocoilus - hair,Odocoilus,trace,,,,,
di_971,M40233,M40233c,colon,hair and claws of B. astutus,B. astutus,blank,,,,,
di_972,M40233,M40233c,colon,trap debris,debris,2.4 cc,,,,,
di_973,M40233,M40234s,stomach,Orthoptera (leg segment),Orthoptera,trace,,,,,
di_974,M40234,M40234s,stomach,"Coleoptera, Scarabaeidae: Canthon sp. (tibia)",Canthon sp.,trace,,,,,
di_975,M40234,M40234s,stomach,trap debris,debris,part of 2.5 cc,,,,,
di_976,M40234,M40234s,stomach,hair of self,self,part of 2.5 cc,,,,,
di_977,M40234,M40234si,small intestine,Diospyros texana (fruit skin) ,Diospyros texana,6,,,,,
di_978,M40234,M40234si,small intestine,Diptera: Tachinidae? ,Diptera,71,,,,,
di_979,M40234,M40234si,small intestine,"Hymenoptera, Formicidae: Formicinae",Formicinae,14,,,,,
di_980,M40234,M40234si,small intestine,"Hymenoptera, Formicidae: Myrmicinae",Myrmicinae,9,,,,,
di_981,M40234,M40234si,small intestine,Leporidae hair,Leporidae,trace,,,,,
di_982,M40234,M40234si,small intestine,trap debris,debris,trace,,,,,
di_983,M40234,M40234si,small intestine,hair of self,self,0.1 cc,,,,,
di_984,M40234,M40234c,colon,Diospyros texana (seeds & fruit skins) ,Diospyros texana,46,,,,,
di_985,M40234,M40234c,colon,Tettigoniidae (Orthoptera),Tettigoniidae,18,,,,,
di_986,M40234,M40234c,colon,Orthoptera: Acrididae,Acrididae,22,,,,,
di_987,M40234,M40234c,colon,Hymenoptera: Formicidae,Formicidae,trace,,,,,
di_988,M40234,M40234c,colon,Leporidae hair,Leporidae,trace,,,,,
di_989,M40234,M40234c,colon,Chilopoda: Scolopendridae,Scolopendridae,14,,,,,
di_990,M40234,M40234c,colon,hair of self,self,trace,,,,,
di_991,M40234,M40235s,stomach,Orthoptera: Acrididae,Acrididae,60,,,,,
di_992,M40235,M40235s,stomach,"Orthoptera eggs, prob. Acrididae",Orthoptera,trace,,,,,
di_993,M40235,M40235s,stomach,Araneida,Araneida,2,,,,,
di_994,M40235,M40235s,stomach,Chilopoda: Scolopendridae,Scolopendridae,38,,,,,
di_995,M40235,M40235s,stomach,woody debris,debris,1.0 cc,,,,,
di_996,M40235,M40235s,stomach,hair from self,self,trace,,,,,
di_997,M40235,M40235si,small intestine,Diospyros texana (?) - skin & pulp,Diospyros texana,8,,,,,
di_998,M40235,M40235si,small intestine,Orthoptera: Gryllidae,Gryllidae,trace,,,,,
di_999,M40235,M40235si,small intestine,Orthoptera: Acrididae,Acrididae,87,,,,,
,M40824,,,,,,,,,,
